text,option_a,option_b,option_c,option_d,correct_option,question_type,extra_data
Match common errors.,,,,,,drag_and_drop,"{""BSOD"": ""Critical OS failure"", ""POST beep"": ""Hardware fault"", ""Boot loop"": ""Startup failure""}"
Match backup locations.,,,,,,drag_and_drop,"{""Local"": ""Same device"", ""External"": ""USB drive"", ""Cloud"": ""Internet storage""}"
Match wireless tools.,,,,,,drag_and_drop,"{""SSID"": ""Network name"", ""MAC filter"": ""Device restriction"", ""WPS"": ""Quick connect""}"
Match processor brands.,,,,,,drag_and_drop,"{""Intel"": ""Core i7"", ""AMD"": ""Ryzen 7"", ""Apple"": ""M1 chip""}"
Match file attributes.,,,,,,drag_and_drop,"{""Hidden"": ""Invisible by default"", ""Read-only"": ""Cannot edit"", ""System"": ""Critical to OS""}"
Match Windows folders.,,,,,,drag_and_drop,"{""System32"": ""Core files"", ""Program Files"": ""Installed apps"", ""Users"": ""Profiles and data""}"
Match cooling types.,,,,,,drag_and_drop,"{""Fan"": ""Air cooling"", ""Heatsink"": ""Passive dissipation"", ""Liquid"": ""Water-based""}"
Match storage technologies.,,,,,,drag_and_drop,"{""HDD"": ""Magnetic platter"", ""SSD"": ""Flash-based"", ""Tape"": ""Archival""}"
Match power states.,,,,,,drag_and_drop,"{""Soft Off"": ""Shutdown"", ""Sleep"": ""Suspend"", ""Hibernate"": ""Save state to disk""}"
Match file types.,,,,,,drag_and_drop,"{"".exe"": ""Executable"", "".docx"": ""Word document"", "".jpg"": ""Image""}"
Match Windows shortcuts.,,,,,,drag_and_drop,"{""Ctrl+C"": ""Copy"", ""Ctrl+V"": ""Paste"", ""Alt+Tab"": ""Switch window""}"
Match firmware types.,,,,,,drag_and_drop,"{""BIOS"": ""Legacy system software"", ""UEFI"": ""Modern system firmware"", ""Embedded"": ""Device-specific""}"
Match command-line tools to OS.,,,,,,drag_and_drop,"{""sfc"": ""Windows"", ""fsck"": ""Linux"", ""diskutil"": ""macOS""}"
Match internet services.,,,,,,drag_and_drop,"{""DNS"": ""Name resolution"", ""FTP"": ""File transfer"", ""HTTP"": ""Web browsing""}"
Match virtualization platforms.,,,,,,drag_and_drop,"{""Hyper-V"": ""Windows"", ""VirtualBox"": ""Cross-platform"", ""VMware"": ""Enterprise-grade""}"
